Income,Census Tract
"95,189",405701
"81,671",405702
"81,250",405800
"67,047",405900
"81,000",406000
"67,317",406101
"64,846",406103
"34,861",406201
"95,231",406300
"86,667",406413
"92,599",406500
"103,636",406601
"86,630",406602
"91,944",406701
"88,173",406702
"102,813",406801
"79,500",406903
"83,480",407001
"80,313",407002
"69,609",407101
"71,176",407102
"76,404",407201
"61,039",407202
"75,167",407301
"64,740",407302
"91,389",407400
"72,000",407501
"86,806",407502
"65,658",407601
"79,732",407602
"45,284",407701
"71,830",407702
"102,422",407801
"97,539",407802
"98,707",407901
"86,058",407902
"88,000",408003
"83,684",408004
"125,354",408005
"85,389",408006
"83,006",408133
"102,171",408134
"82,593",408135
"92,411",408136
"74,191",408137
"75,200",408138
"72,311",408139
"64,900",408140
"83,618",408141
"67,031",408212
"73,000",408213
"71,639",408301
"88,417",408302
"106,579",408303
"83,636",408401
"106,810",408402
"120,330",408503
"92,500",408504
"116,354",408505
"72,250",408623
"98,571",408624
"91,898",408625
"84,671",408626
"101,490",408627
"66,975",408628
"107,344",408629
"81,139",408631
"132,583",408703
"64,333",408705
"118,714",408707
"103,274",408722
"44,413",408724
"65,341",408725
"40,108",408800
"67,209",408900
"62,894",409000
"71,384",409100
"114,654",430003
"78,056",430004
"92,194",430005
"49,432",430101
"82,651",430102
"109,519",430200
"130,598",430301
"93,750",430302
"129,750",430400
"147,169",430501
"79,167",430502
"151,850",430600
"85,536",430701
"70,221",430721
"72,268",430723
"78,750",430724
"94,196",430801
"106,902",430802
"81,875",430803
"71,667",430901
"90,930",430902
"48,917",431002
"69,708",431003
"72,986",431004
"67,500",431100
"86,951",431200
"103,846",431300
"74,306",431400
"57,012",431501
"65,625",431502
"102,025",431600
"112,924",431701
"87,148",431800
"71,468",431900
"99,767",432001
"64,559",432002
"100,698",432101
"94,895",432102
"84,412",432201
"70,590",432202
"53,125",432300
"57,656",432401
"57,887",432402
"55,893",432501
"71,577",432502
"73,339",432601
"68,407",432602
"58,750",432700
"23,487",432801
"50,417",432802
"56,765",432901
"73,162",432902
"60,694",433103
"56,371",433200
"51,538",433302
"42,197",433304
"40,625",433305
"56,010",433306
"67,917",433307
"68,512",433402
"49,202",433403
"53,190",433505
"36,956",433506
"66,657",433601
"50,379",433602
"74,583",433803
"46,581",433804
"49,621",433901
"52,438",433903
"51,438",434001
"60,147",434003
"71,652",434004
"59,432",434100
"194,375",460001
"131,469",460002
"136,348",460101
"99,223",460200
"130,438",460301
"68,615",460302
"92,917",460401
"180,417",460501
"216,750",460502
"144,618",460601
"160,565",460700
"221,375",460800
"78,643",460900
"103,866",461000
"99,511",461100
"151,375",461200
"78,030",461300
"67,399",461400
"77,114",461501
"55,590",461502
"80,231",461600
"137,321",461700
"49,583",461901
"36,409",461902
"72,250",462001
"29,397",462002
"64,459",462100
"39,851",462201
"83,813",462202
"63,583",462301
"74,931",462302
"92,500",462400
"95,833",462500
"124,438",462600
"68,500",462700
"86,955",462800
"104,596",462900
"109,223",463000
"90,923",463103
"98,300",463200
"102,821",463300
"99,159",463400
"84,464",463500
"81,655",463601
"95,094",463602
"145,638",463700
"168,500",463800
"112,188",463900
"118,110",464000
"175,294",464101
"179,398",464102
"141,725",464200
"117,182",480002
"64,592",480011
"86,058",480012
"86,639",480101
"87,543",480102
"122,455",480201
"87,778",480202
"80,943",480302
"70,938",480303
"55,927",480304
"66,809",480400
"125,061",480500
"82,138",480601
"130,071",480602
"170,541",480702
"136,875",480703
"97,818",480704
"72,368",480802
"81,034",480803
"72,188",480804
"66,085",480901
"47,981",480902
"62,375",480903
"63,159",481001
"71,957",481002
"70,781",481101
"63,625",481102
"71,706",481103
"79,423",481201
"66,863",481203
"65,300",481300
"60,365",481401
"44,960",481403
"73,846",481404
"66,341",481500
"49,482",481603
"58,438",481604
"69,500",481605
"59,040",481606
"50,777",481711
"46,375",481712
"63,365",481713
"40,761",481714
"99,107",481800
"87,303",481901
"66,226",481902
"89,890",482001
"75,013",482002
"63,083",482101
"90,833",482102
"45,042",482201
"56,964",482202
"56,250",482301
"52,344",482303
"41,314",482304
"50,230",482401
"39,583",482403
"72,688",482404
"55,250",482502
"67,566",482503
"64,500",482521
"64,281",482522
"76,894",482600
"71,438",482701
"96,484",482702
"73,500",482801
"180,720",500100
"124,321",500202
"108,925",500203
"154,299",500204
"97,425",500300
"61,505",500402
"83,438",500403
"77,028",500404
"62,031",500500
"65,577",500600
"68,750",500700
"74,688",500800
"49,375",500900
"85,800",501001
"94,527",501002
"99,107",501200
"77,868",501301
"51,587",501302
"43,656",501400
"106,713",501501
"70,208",501503
"37,149",501504
"80,246",501600
"83,438",501700
"70,329",501802
"41,957",501803
"48,409",501804
"86,103",501900
"70,855",502003
"80,076",502004
"66,194",502005
"59,125",502100
"82,188",502200
"62,729",502303
"54,847",502401
"81,458",502402
"71,250",502500
"56,500",502602
"99,625",502603
"100,918",502604
"75,208",502700
"85,859",502801
"92,101",502901
"76,528",503000
"79,958",503103
"69,643",503104
"70,568",503105
"71,098",503106
"97,639",503201
"69,635",503202
"113,750",503301
"78,810",503302
"98,239",503401
"101,756",503402
"68,393",503501
"109,340",503502
"103,750",503601
"126,705",503602
"66,575",503701
"83,664",503702
"66,983",503704
"100,284",503705
"87,381",503801
"95,101",503802
"107,344",503901
"104,841",503902
"52,252",504001
"109,500",504002
"63,047",504101
"54,522",504200
"101,750",530005
"73,528",530006
"76,816",530007
"44,375",530101
"47,941",530102
"83,182",530202
"48,452",530203
"71,382",530204
"48,056",530301
"45,703",530302
"45,154",530400
"51,941",530500
"66,061",530603
"62,841",530700
"52,813",530801
"65,227",530802
"53,860",530901
"34,023",530902
"44,918",531000
"56,568",531101
"38,990",531102
"50,568",531201
"51,135",531202
"44,662",531301
"41,818",531302
"47,098",531502
"55,417",531503
"60,521",531504
"41,707",531602
"52,367",531603
"43,550",531604
"46,115",531701
"58,065",531702
"63,029",531800
"50,486",531901
"68,750",531902
"38,971",532001
"56,131",532002
"53,833",532101
"73,534",532102
"60,676",532200
"54,600",532302
"56,302",532303
"45,556",532304
"52,639",532500
"39,063",532605
"35,769",532606
"48,692",532607
"60,114",532700
"42,784",532800
"39,612",532900
"46,591",533001
"39,258",533002
"39,375",533103
"44,213",533104
"41,797",533105
"40,264",533108
"50,729",533201
"56,173",533204
"43,313",533300
"47,917",533401
"37,763",533402
"54,922",533403
"63,000",533501
"51,556",533504
"52,000",533601
"50,364",533602
"41,204",533603
"43,661",533701
"51,702",533702
"63,155",533703
"40,989",533803
"42,244",533804
"57,528",533805
"59,000",533806
"45,236",533901
"48,750",533902
"48,468",534001
"54,063",534002
"44,911",534101
"40,797",534102
"48,640",534201
"36,178",534202
"36,156",534203
"49,974",534301
"46,989",534302
"53,500",534403
"42,955",534404
"45,865",534405
"40,682",534406
"47,405",534501
"65,323",534502
"71,991",534700
"57,788",534802
"52,173",534803
"56,875",534804
"60,602",534900
"48,125",535001
"45,139",535002
"51,820",535101
"50,583",535102
"57,663",535200
"56,010",535300
"62,708",535400
"44,515",535501
